,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,,,,Afghanistan,2021-09-22 04:21:45,33.93911,67.709953,154712,7199,,,Afghanistan,397.427673581055,4.653162004240136
1,,,,Albania,2021-09-22 04:21:45,41.1533,20.1683,164276,2594,,,Albania,5708.388352213498,1.579049891645767
2,,,,Algeria,2021-09-22 04:21:45,28.0339,1.6596,201948,5725,,,Algeria,460.53180536663626,2.8348881890387623
3,,,,Andorra,2021-09-22 04:21:45,42.5063,1.5218,15140,130,,,Andorra,19594.900666537244,0.8586525759577279
4,,,,Angola,2021-09-22 04:21:45,-11.2027,17.8739,52968,1414,,,Angola,161.1621982757519,2.6695363238181544
5,,,,Antigua and Barbuda,2021-09-22 04:21:45,17.0608,-61.7964,2603,55,,,Antigua and Barbuda,2658.0753206437385,2.1129466000768344
6,,,,Argentina,2021-09-22 04:21:45,-38.4161,-63.6167,5243231,114579,,,Argentina,11601.15247050626,2.185274690357911
7,,,,Armenia,2021-09-22 04:21:45,40.0691,45.0382,254436,5161,,,Armenia,8586.429556356332,2.028407929695484
8,,,Australian Capital Territory,Australia,2021-09-22 04:21:45,-35.4735,149.0124,782,3,,,"Australian Capital Territory, Australia",182.66760102779725,0.3836317135549872
9,,,New South Wales,Australia,2021-09-22 04:21:45,-33.8688,151.2093,54919,314,,,"New South Wales, Australia",676.5089923626509,0.5717511243831825
10,,,Northern Territory,Australia,2021-09-22 04:21:45,-12.4634,130.8456,206,0,,,"Northern Territory, Australia",83.87622149837135,0.0
11,,,Queensland,Australia,2021-09-22 04:21:45,-27.4698,153.0251,2019,7,,,"Queensland, Australia",39.46828267031571,0.3467062902426944
12,,,South Australia,Australia,2021-09-22 04:21:45,-34.9285,138.6007,898,4,,,"South Australia, Australia",51.12439510389979,0.44543429844098
13,,,Tasmania,Australia,2021-09-22 04:21:45,-42.8821,147.3272,235,13,,,"Tasmania, Australia",43.8842203548086,5.531914893617022
14,,,Victoria,Australia,2021-09-22 04:21:45,-37.8136,144.9631,30216,836,,,"Victoria, Australia",455.7534804446522,2.7667460947842204
15,,,Western Australia,Australia,2021-09-22 04:21:45,-31.9505,115.8605,1094,9,,,"Western Australia, Australia",41.58747053904053,0.8226691042047533
16,,,,Austria,2021-09-22 04:21:45,47.5162,14.5501,726674,10918,,,Austria,8068.418013856813,1.5024619017606244
17,,,,Azerbaijan,2021-09-22 04:21:45,40.1431,47.5769,475053,6353,,,Azerbaijan,4685.322030638587,1.3373244669542137
18,,,,Bahamas,2021-09-22 04:21:45,25.025885,-78.035889,20288,512,,,Bahamas,5159.085360891854,2.5236593059936907
19,,,,Bahrain,2021-09-22 04:21:45,26.0275,50.55,274452,1388,,,Bahrain,16129.216147552015,0.5057350647836416
20,,,,Bangladesh,2021-09-22 04:21:45,23.685,90.3563,1545800,27277,,,Bangladesh,938.6154540393172,1.7645879156423858
